storeId;Inicio;Fin
ZARA_FI;12/06/2025 16:02;12/11/2025 16:02
ZARA_SE;12/06/2025 17:02;12/11/2025 17:02
ZARA_CN;18/06/2025 11:42;18/11/2025 11:42
ZARA_MY;18/06/2025 13:02;18/11/2025 13:02
ZARA_SG;18/06/2025 13:02;18/11/2025 13:02
ZARA_HK;18/06/2025 14:02;18/11/2025 14:02
ZARA_MO;18/06/2025 14:02;18/11/2025 14:02
ZARA_TW;18/06/2025 14:02;18/11/2025 14:02
ZARA_TH;18/06/2025 14:02;18/11/2025 14:02
ZARA_KZ;18/06/2025 16:02;18/11/2025 16:02
ZARA_KW;18/06/2025 17:02;18/11/2025 17:02
ZARA_AE;18/06/2025 18:02;18/11/2025 18:02
ZARA_XE;18/06/2025 18:02;18/11/2025 18:02
ZARA_OM;18/06/2025 18:02;18/11/2025 18:02
ZARA_NL;18/06/2025 16:02;18/11/2025 16:02
ZARA_CH;18/06/2025 18:02;18/11/2025 18:02
ZARA_BH;18/06/2025 19:02;18/11/2025 19:02
ZARA_JO;18/06/2025 19:02;18/11/2025 19:02
ZARA_LB;18/06/2025 19:02;18/11/2025 19:02
ZARA_QA;18/06/2025 19:02;18/11/2025 19:02
ZARA_FR;25/06/2025 06:02;25/11/2025 06:02
ZARA_MC;25/06/2025 06:02;25/11/2025 06:02
ZARA_KR;25/06/2025 11:02;25/11/2025 11:02
ZARA_PH;25/06/2025 13:02;25/11/2025 13:02
ZARA_JP;25/06/2025 12:02;25/11/2025 12:02
ZARA_KH;25/06/2025 14:02;25/11/2025 14:02
ZARA_ID;25/06/2025 14:02;25/11/2025 14:02
ZARA_VN;25/06/2025 14:02;25/11/2025 14:02
ZARA_IN;25/06/2025 15:32;25/11/2025 15:32
ZARA_UZ;25/06/2025 16:02;25/11/2025 16:02
ZARA_AM;25/06/2025 17:02;25/11/2025 17:02
ZARA_AZ;25/06/2025 17:02;25/11/2025 17:02
ZARA_BG;25/06/2025 17:02;25/11/2025 17:02
ZARA_DK;25/06/2025 17:02;25/11/2025 17:02
ZARA_GE;25/06/2025 17:02;25/11/2025 17:02
ZARA_NO;25/06/2025 17:02;25/11/2025 17:02
ZARA_TR;25/06/2025 17:02;25/11/2025 17:02
ZARA_HU;25/06/2025 18:02;25/11/2025 18:02
ZARA_DE;25/06/2025 18:02;25/11/2025 18:02
ZARA_SA;25/06/2025 18:02;25/11/2025 18:02
ZARA_AT;25/06/2025 18:02;25/11/2025 18:02
ZARA_BA;25/06/2025 18:02;25/11/2025 18:02
ZARA_CY;25/06/2025 18:02;25/11/2025 18:02
ZARA_SK;25/06/2025 18:02;25/11/2025 18:02
ZARA_SI;25/06/2025 18:02;25/11/2025 18:02
ZARA_EE;25/06/2025 18:02;25/11/2025 18:02
ZARA_GR;25/06/2025 18:02;25/11/2025 18:02
ZARA_LV;25/06/2025 18:02;25/11/2025 18:02
ZARA_LT;25/06/2025 18:02;25/11/2025 18:02
ZARA_PL;25/06/2025 18:02;25/11/2025 18:02
ZARA_CZ;25/06/2025 18:02;25/11/2025 18:02
ZARA_RO;25/06/2025 18:02;25/11/2025 18:02
ZARA_UA;25/06/2025 18:02;25/11/2025 18:02
ZARA_WW;25/06/2025 19:02;25/11/2025 19:02
ZARA_AL;25/06/2025 19:02;25/11/2025 19:02
ZARA_AD;25/06/2025 19:02;25/11/2025 19:02
ZARA_IC;25/06/2025 19:02;25/11/2025 19:02
ZARA_ES;25/06/2025 19:02;25/11/2025 19:02
ZARA_XK;25/06/2025 19:02;25/11/2025 19:02
ZARA_MK;25/06/2025 19:02;25/11/2025 19:02
ZARA_MT;25/06/2025 19:02;25/11/2025 19:02
ZARA_ME;25/06/2025 19:02;25/11/2025 19:02
ZARA_AO;25/06/2025 20:02;25/11/2025 20:02
ZARA_EG;25/06/2025 20:02;25/11/2025 20:02
ZARA_UK;25/06/2025 20:02;25/11/2025 20:02
ZARA_IE;25/06/2025 19:02;25/11/2025 19:02
ZARA_IL;02/07/2025 20:02;02/12/2025 20:02
ZARA_RS;25/06/2025 18:02;25/11/2025 18:02
ZARA_IS;25/06/2025 21:02;25/11/2025 21:02
ZARA_PT;25/06/2025 21:02;25/11/2025 21:02
ZARA_AW;26/06/2025 01:02;26/11/2025 01:02
ZARA_CA;26/06/2025 01:02;26/11/2025 01:02
ZARA_PR;26/06/2025 01:02;26/11/2025 01:02
ZARA_DO;26/06/2025 01:02;26/11/2025 01:02
ZARA_US;26/06/2025 01:02;26/11/2025 01:02
ZARA_VE;26/06/2025 01:02;26/11/2025 01:02
ZARA_CO;26/06/2025 02:02;26/11/2025 02:02
ZARA_EC;26/06/2025 02:02;26/11/2025 02:02
ZARA_PA;26/06/2025 02:02;26/11/2025 02:02
ZARA_CR;26/06/2025 03:02;26/11/2025 03:02
ZARA_SV;26/06/2025 03:02;26/11/2025 03:02
ZARA_GT;26/06/2025 03:02;26/11/2025 03:02
ZARA_HN;26/06/2025 03:02;26/11/2025 03:02
ZARA_MX;26/06/2025 03:02;26/11/2025 03:02
ZARA_NI;26/06/2025 03:02;26/11/2025 03:02
ZARA_LU;26/06/2025 22:02;26/11/2025 22:02
ZARA_HR;30/06/2025 18:02;30/11/2025 18:02
ZARA_BE;30/06/2025 22:02;30/11/2025 22:02
ZARA_MA;02/07/2025 20:02;02/12/2025 20:02
ZARA_IT;04/07/2025 18:02;04/12/2025 18:02
ZARA_TN;06/08/2025 23:02;06/01/2026 23:02
ZARA_XD;18/06/2025 13:00;18/11/2025 13:00
ZARA_XT;18/06/2025 13:00;18/11/2025 13:00
ZARA_NZ;25/06/2025 08:02;25/11/2025 08:02
ZARA_AU;25/06/2025 10:02;25/11/2025 10:02
ZARA_CL;25/06/2025 23:02;25/11/2025 23:02
ZARA_AR;26/06/2025 00:02;26/11/2025 00:02
ZARA_BR;26/06/2025 00:02;26/11/2025 00:02
ZARA_UY;26/06/2025 00:02;26/11/2025 00:02
ZARA_PY;26/06/2025 00:02;26/11/2025 00:02
ZARA_PE;26/06/2025 02:02;26/11/2025 02:02
ZARA_ZA;26/06/2025 19:02;26/11/2025 19:02
